Feature00,Feature01,Feature02,Feature03,Feature04,Feature05,Feature06,Feature07,Feature08,Feature09,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Label
,,,,zero,,,0.302114487,0.299588829,567.638916,402.055542,1043.055542,39.67824206,3.074569941,0.173299998,148.1000072,0.260881633,0.340390921,273.8888855,32.94444275,538.777771,27.82886289,3.23396802,,69.91499686,43.96499935,0
28.65756416,8.390067287,56.02830505,8.839286074,zero,8.602021217,59.44499935,0.270928115,0.298637688,641.305542,288.222229,1159.166626,35.15601903,2.983075619,0.107600004,196.0999944,0.301530361,0.329911709,321.805542,128.5555573,598.888855,41.44272581,3.157941818,,88.3649991,45.67499855,1
56.92728806,7.830636313,,,zero,8.449775696,62.33999739,0.248862043,0.293933362,666.75,681.388855,1182.5,50.86492375,2.888998509,0.138899997,180.9999958,0.27432555,0.340256333,342.0833435,204.1389008,632.222229,,3.229286909,,93.29000022,51.92000026,0
27.28316307,8.628626459,55.54966354,9.084821437,zero,9.155326843,50.35999857,0.248216286,0.286333203,599.319458,250.5,1086.666626,44.57354173,2.845930576,0.136999995,169.6499967,0.223506004,0.333809465,274.527771,64.8611145,523.055542,29.06509116,3.161327601,,93.3850024,45.05499965,1
34.95036316,8.137555733,,,zero,8.094345093,80.14000196,0.242070541,0.302621186,678.875,665,1207.22229,39.52683881,2.885727406,0.125100002,189.4000016,0.284887284,0.331097215,330.972229,192.6111145,605.833374,25.37272684,3.093660832,,85.64499876,48.48000026,0
79.0947876,7.709262916,,,zero,7.905865192,121.6500023,0.225286737,0.305025697,723.305542,995.833374,1271.666626,53.18253487,2.913137913,0.084700003,194.1999944,0.29262501,0.336035699,370.1111145,633.055542,662.777771,28.52831222,3.10858655,,103.9499985,48.16000001,0
27.08072853,8.761161068,52.48776627,9.228515521,zero,8.912787437,55.68000051,0.220892072,0.280232042,629.097229,215.6666565,1135.277832,45.47086731,2.858795881,0.141299993,182.8499953,0.214198679,0.337360501,288.347229,61.86111069,540.027771,,3.192842722,,90.31999798,43.71999967,1
26.93011284,8.683036061,53.68970871,9.157365838,zero,9.112368584,47.80499876,0.220637858,0.301040918,611.666626,257.194458,1115,32.86954761,2.929830074,0.139400005,157.5500064,0.213815436,0.33135441,298.569458,110.2222214,550.888855,27.86897309,3.150480747,,99.53999688,39.37500151,1
25.80403519,8.662109224,,,zero,8.99242115,47.87999933,0.214506835,0.301625699,625.416687,252.3055573,1133.333252,39.2017737,2.954089165,0.1193,168.5000025,0.280508637,0.326860815,300.5416565,112.5555573,555.722229,29.15127017,3.113754034,,90.80000018,36.5349988,0
41.29925156,7.985491608,93.0014267,8.431920093,zero,8.003928185,91.80999768,0.211535901,0.30133161,678.819458,660.000061,1209.444458,45.68979517,2.913202524,0.115400001,186.8999971,0.184353322,0.334920347,333.4305725,199.277771,615,35.14510766,3.121958733,,83.2500009,45.59000081,1
